Cp,D,Rs,X
0,  0.9416E-12,-0.56720,-72.5390E+06,-127.889E+06
0,  0.9591E-12,-0.57779,-71.8815E+06,-124.407E+06
0,  0.9440E-12,-0.63196,-76.1392E+06,-120.482E+06
0,  0.9468E-12,-0.59433,-73.8239E+06,-124.213E+06
0,  0.9557E-12,-0.55035,-70.3458E+06,-127.819E+06
0,  0.9366E-12,-0.61142,-75.6254E+06,-123.689E+06
0,  0.9425E-12,-0.63209,-76.2652E+06,-120.655E+06
0,  0.9420E-12,-0.57053,-72.7231E+06,-127.465E+06
0,  0.9480E-12,-0.56628,-71.9844E+06,-127.119E+06
0,  0.9377E-12,-0.64022,-77.0707E+06,-120.382E+06
0,  0.9447E-12,-0.62449,-75.6920E+06,-121.207E+06
0,  0.9633E-12,-0.56386,-70.6865E+06,-125.361E+06
0,  0.9463E-12,-0.57897,-72.9255E+06,-125.957E+06
0,  0.9312E-12,-0.63519,-77.3506E+06,-121.775E+06
0,  0.9396E-12,-0.60341,-74.9281E+06,-124.174E+06
0,  0.9391E-12,-0.56205,-72.3835E+06,-128.784E+06
0,  0.9282E-12,-0.62541,-77.0833E+06,-123.252E+06
0,  0.9453E-12,-0.61981,-75.3903E+06,-121.634E+06
0,  0.9567E-12,-0.55848,-70.8173E+06,-126.803E+06
0,  0.9513E-12,-0.58077,-72.6570E+06,-125.106E+06
0,  0.9368E-12,-0.63667,-76.9693E+06,-120.893E+06
0,  0.9330E-12,-0.62673,-76.7601E+06,-122.476E+06
0,  0.9556E-12,-0.58296,-72.4615E+06,-124.300E+06
0,  0.9552E-12,-0.56200,-71.1602E+06,-126.620E+06
0,  0.9416E-12,-0.61239,-75.2813E+06,-122.930E+06
0,  0.9395E-12,-0.64417,-77.1253E+06,-119.728E+06
0,  0.9382E-12,-0.59091,-74.3005E+06,-125.739E+06
0,  0.9525E-12,-0.56223,-71.3769E+06,-126.954E+06
0,  0.9550E-12,-0.57798,-72.1993E+06,-124.916E+06
0,  0.9374E-12,-0.63239,-76.6976E+06,-121.282E+06
0,  0.9428E-12,-0.59694,-74.2957E+06,-124.460E+06
0,  0.9578E-12,-0.54218,-69.6274E+06,-128.420E+06
0,  0.9319E-12,-0.61724,-76.3356E+06,-123.672E+06
0,  0.9405E-12,-0.63734,-76.6982E+06,-120.341E+06
0,  0.9582E-12,-0.57633,-71.8561E+06,-124.678E+06
0,  0.9572E-12,-0.57621,-71.9257E+06,-124.826E+06
0,  0.9391E-12,-0.63660,-76.7712E+06,-120.596E+06
0,  0.9520E-12,-0.59692,-73.5751E+06,-123.258E+06
0,  0.9605E-12,-0.55239,-70.1324E+06,-126.962E+06
0,  0.9422E-12,-0.61285,-75.2600E+06,-122.804E+06
0,  0.9373E-12,-0.64453,-77.3174E+06,-119.959E+06
0,  0.9370E-12,-0.60076,-74.9848E+06,-124.816E+06
0,  0.9559E-12,-0.56372,-71.2244E+06,-126.348E+06
0,  0.9406E-12,-0.59074,-74.0957E+06,-125.428E+06
0,  0.9457E-12,-0.62183,-75.4671E+06,-121.363E+06
0,  0.9368E-12,-0.61427,-75.7679E+06,-123.346E+06
0,  0.9468E-12,-0.56791,-72.1842E+06,-127.106E+06
0,  0.9455E-12,-0.58310,-73.2475E+06,-125.617E+06
0,  0.9309E-12,-0.65832,-78.5194E+06,-119.272E+06
0,  0.9436E-12,-0.59453,-74.0865E+06,-124.614E+06
0,  0.9580E-12,-0.54613,-69.8856E+06,-127.966E+06
0,  0.9477E-12,-0.61167,-74.7569E+06,-122.218E+06
0,  0.9451E-12,-0.64368,-76.6413E+06,-119.068E+06
0,  0.9539E-12,-0.58570,-72.7582E+06,-124.223E+06
0,  0.9411E-12,-0.57915,-73.3420E+06,-126.638E+06
0,  0.9278E-12,-0.62848,-77.2864E+06,-122.974E+06
0,  0.9398E-12,-0.62704,-76.2189E+06,-121.554E+06
0,  0.9652E-12,-0.56424,-70.5722E+06,-125.075E+06
0,  0.9488E-12,-0.58462,-73.0853E+06,-125.013E+06
0,  0.9358E-12,-0.64342,-77.3924E+06,-120.282E+06
0,  0.9406E-12,-0.62291,-75.9334E+06,-121.901E+06
0,  0.9453E-12,-0.56466,-72.0884E+06,-127.667E+06
0,  0.9405E-12,-0.60590,-75.0018E+06,-123.785E+06
0,  0.9322E-12,-0.63929,-77.4838E+06,-121.202E+06
0,  0.9591E-12,-0.58168,-72.1230E+06,-123.991E+06
0,  0.9508E-12,-0.57720,-72.4727E+06,-125.559E+06
0,  0.9315E-12,-0.63860,-77.5022E+06,-121.364E+06
0,  0.9423E-12,-0.59969,-74.4977E+06,-124.226E+06
0,  0.9563E-12,-0.54120,-69.6670E+06,-128.726E+06
0,  0.9258E-12,-0.62856,-77.4555E+06,-123.227E+06
0,  0.9478E-12,-0.62560,-75.5015E+06,-120.686E+06
0,  0.9520E-12,-0.55371,-70.8491E+06,-127.953E+06
0,  0.9564E-12,-0.57545,-71.9358E+06,-125.009E+06
0,  0.9375E-12,-0.63537,-76.8436E+06,-120.943E+06
0,  0.9496E-12,-0.58532,-73.0683E+06,-124.836E+06
0,  0.9459E-12,-0.57156,-72.4896E+06,-126.829E+06
0,  0.9505E-12,-0.57409,-72.3001E+06,-125.939E+06
0,  0.9338E-12,-0.62259,-76.4738E+06,-122.831E+06
0,  0.9354E-12,-0.62941,-76.7028E+06,-121.865E+06
0,  0.9403E-12,-0.57343,-73.0426E+06,-127.378E+06
0,  0.9495E-12,-0.57155,-72.2124E+06,-126.345E+06
0,  0.9300E-12,-0.62904,-77.1337E+06,-122.621E+06
0,  0.9374E-12,-0.62666,-76.3966E+06,-121.910E+06
0,  0.9536E-12,-0.56921,-71.7549E+06,-126.060E+06
0,  0.9471E-12,-0.60578,-74.4731E+06,-122.939E+06
0,  0.9381E-12,-0.63738,-76.8979E+06,-120.647E+06
0,  0.9629E-12,-0.55856,-70.3696E+06,-125.984E+06
0,  0.9444E-12,-0.56423,-72.1225E+06,-127.825E+06
0,  0.9279E-12,-0.64242,-77.9976E+06,-121.413E+06
0,  0.9518E-12,-0.61474,-74.6013E+06,-121.354E+06
0,  0.9610E-12,-0.56235,-70.7563E+06,-125.824E+06
0,  0.9488E-12,-0.60642,-74.3749E+06,-122.646E+06
0,  0.9324E-12,-0.64167,-77.5869E+06,-120.914E+06
0,  0.9573E-12,-0.58452,-72.4326E+06,-123.919E+06
0,  0.9466E-12,-0.58439,-73.2402E+06,-125.329E+06
0,  0.9416E-12,-0.63846,-76.6664E+06,-120.081E+06
